country,state,city,ibgeID,deaths,totalCases,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases,_source,date,newCases,newDeaths
Brazil,RN,Antônio Martins,2400901,0,2,0.00000,27.99160,0.00000,MS,2020-05-29,0,0
Brazil,RS,Antônio Prado,4300802,0,2,0.00000,15.32567,0.00000,SES,2020-05-29,0,0
Brazil,GO,Anápolis,5201108,2,149,0.51690,38.50895,0.01342,SES,2020-05-29,17,0
Brazil,PI,Anísio de Abreu,2200707,0,16,0.00000,161.94332,0.00000,MS,2020-05-29,0,0
Brazil,GO,Aparecida de Goiânia,5201405,10,401,1.72957,69.35568,0.02494,SES,2020-05-29,59,1
Brazil,GO,Aparecida do Rio Doce,5201454,0,1,0.00000,40.42037,0.00000,SES,2020-05-29,0,0
Brazil,TO,Aparecida do Rio Negro,1701101,0,0,0.00000,0.00000,0.00000,MS,2020-05-29,0,0
Brazil,PB,Aparecida,2500775,0,4,0.00000,47.92141,0.00000,MS,2020-05-29,0,0
Brazil,SP,Aparecida,3502507,0,5,0.00000,13.82858,0.00000,SES,2020-05-29,0,0
Brazil,RJ,Aperibé,3300159,0,10,0.00000,85.04125,0.00000,MS,2020-05-29,0,0
Brazil,ES,Apiacá,3200508,0,12,0.00000,158.58332,0.00000,MS,2020-05-29,0,0
Brazil,SP,Apiaí,3502705,0,2,0.00000,8.20546,0.00000,SES,2020-05-29,0,0
Brazil,MA,Apicum-Açu,2100832,1,73,5.80080,423.45844,0.01370,MS,2020-05-29,0,0
Brazil,RN,Apodi,2401008,5,208,13.94895,580.27619,0.02404,MS,2020-05-29,0,0
Brazil,BA,Aporá,2901908,0,3,0.00000,16.91952,0.00000,MS,2020-05-29,0,0
Brazil,GO,Aporé,5201504,0,0,0.00000,0.00000,0.00000,SES,2020-05-29,0,0
Brazil,BA,Apuarema,2901957,0,1,0.00000,13.64256,0.00000,MS,2020-05-29,0,0
Brazil,PR,Apucarana,4101408,3,36,2.22229,26.66746,0.08333,SES,2020-05-29,0,0
Brazil,CE,Apuiarés,2300903,6,20,41.09589,136.98630,0.30000,MS,2020-05-29,0,0
Brazil,AM,Apuí,1300144,0,27,0.00000,122.87808,0.00000,MS,2020-05-29,2,0
Brazil,SE,Aquidabã,2800209,1,15,4.63757,69.56360,0.06667,MS,2020-05-29,0,0
Brazil,CE,Aquiraz,2301000,13,203,16.19514,252.89332,0.06404,MS,2020-05-29,0,0
Brazil,SC,Arabutã,4201273,0,20,0.00000,468.71338,0.00000,MS,2020-05-29,0,0
Brazil,SE,Aracaju,2800308,65,3784,9.89326,575.93990,0.01718,MS,2020-05-29,161,6
Brazil,CE,Aracati,2301109,8,113,10.73148,151.58222,0.07080,MS,2020-05-29,0,0
Brazil,BA,Aracatu,2902005,0,4,0.00000,30.45299,0.00000,MS,2020-05-29,0,0
Brazil,BA,Araci,2902104,1,4,1.83895,7.35578,0.25000,MS,2020-05-29,0,0
Brazil,CE,Aracoiaba,2301208,1,92,3.77800,347.57641,0.01087,MS,2020-05-29,0,1
Brazil,ES,Aracruz,3200607,10,102,9.87947,100.77060,0.09804,MS,2020-05-29,0,0
Brazil,GO,Aragarças,5201702,0,63,0.00000,313.15240,0.00000,SES,2020-05-29,48,0
Brazil,GO,Aragoiânia,5201801,0,2,0.00000,19.40241,0.00000,SES,2020-05-29,0,0
Brazil,TO,Aragominas,1701309,0,5,0.00000,86.83571,0.00000,MS,2020-05-29,2,0
Brazil,TO,Araguacema,1701903,0,0,0.00000,0.00000,0.00000,MS,2020-05-29,0,0
Brazil,MA,Araguanã,2100873,0,159,0.00000,1030.72734,0.00000,MS,2020-05-29,0,0
